// ************************
//       интерфейс
// ************************

Energy 			"^%d ^CСили: %d^KЈҐ"
4102			"^3| ^C^7Потрібен автомобіль: ^1UF1"
4103			"^3| ^C^7Потрібен рівень ^1нижче 20"
4104			"^3| ^7^CНемає вільних вакансій"

4200 			"^C^7Достав тофу %s, %s"
4201 			"^3| ^C^7Достав сало гравцю %s"
4202 			"^3| ^C^7Спочатку розберись з колишнім замовленням"
4203 			"^3| ^C^7Дочекайся, поки надійде замовлення"
4204			"^C^7Замовте продукти в магазині"
4205			"^3| ^C^7Дякую за замовлення продуктів"
4210			"^3| ^8%s^7, ^CПоточне замовлення: ^3%d^7, всього: ^3%d"
4300 			"^3| ^7^CДоставлено"

4206			"^3| ^7^CКапітал магазина: ^7%d ^3ГРН"
4207			"^3| ^7^CСклад: води ^3%0.0f ^7л, муки ^3%0.0f ^7кг, овощів ^3%0.0f ^7кг, сиру ^3%0.0f ^7кг"
4208			"^3| ^7^CПрацівників немає"
4209			"^3| ^7^CПрацівники: ^3%d/%d"

4211			"^3| ^7^CСало за рахунок закладу"
4212 			"^3| ^7^CВи недостатньо довго працювали для отримання безкоштовного харчування"
4213 			"^3| ^7^CВи не можете безкоштовно поїсти сало"
4300 			"^3| ^7^CДоставлено"

// ************************
//         такси
// ************************

4000 			"^3| ^C^7Тебе приняли на роботу"
4001 			"^3| ^C^7Ти вже робиш на мене!"
4002 			"^3| ^C^7Ти не робиш в мене, згинь!"

TaxiDialog1		"^6| ^СТаксі Трійка"
TaxiDialog2		"^6| ^2!deal ^7- ^Cвлаштуватися"
TaxiDialog3		"^6| ^2!undeal ^7- ^Cзвільнитися"
TaxiDialog4		"^6| ^2!workstart ^7- ^Cпочати роботу"
TaxiDialog5		"^6| ^2!workend ^7- ^Cзакінчити роботу"

TaxiDialog6			"^6| ^C^7Потрібен рівень: ^120"
TaxiFiredPenalty	"^6| ^C^7Ти покараний на %d хвилин! Я поки що не хочу мати з тобою діла!"
TaxiDialog7			"^6| ^C^7Ти вже найнятий"
TaxiDialog8			"^6| ^C^7Ти прийнятий"
TaxiDialog9			"^6| ^C^7Ти тут не працюєш"
TaxiDialog10		"^6| ^C^7Ти звільнений!"
TaxiDialog11		"^6| ^C^7Ти ще тут не працюєш"
TaxiDialog12		"^6| ^C^7Ти і так вже працюєш"
TaxiDialog13		"^6| ^C^7Ти не можеш працювати на цьому автомобілі"
TaxiDialog14		"^6| ^C^7Все, йди працювати"
TaxiDialog15		"^6| ^C^7Я тебе вже відпустив додому"
TaxiDialog16		"^6| ^C^7Ти закінчив вахту"
TaxiDialog17		"^6| ^C^7Не вказано ім'я гравця"

TaxiOnStreet	"^6| ^C^7Зупинись через %0.0f м"
TaxiAccept1		"^C^7Забери клієнта на %s"
TaxiAccept2		"^C^7Відвези клієнта на %s"
TaxiAccept11	"^6| ^C^7Заберіть клієнта на %s"
TaxiAccept22	"^6| ^C^7Відвези мене на %s"
TaxiDead		"^6| ^7^CТи вбив клієнта - ^1Звільнений!"
TaxiPll 	"^6| ^7^CТи втратив клієнта"

// ************************
//        полиция
// ************************

1002 			"^C^7Виписати штраф"
1003 			"^C^7Відмінити штраф"
1004 			"^CПочати погоню"
1005 			"^CВідмінити погоню"

RideButton 		"^C^4ЗА ВАМИ ПОГОНЯ"
RightAndStop 	"^C^1Притуліться до обочини! І зупинись"
ArestButton 	"^C^1Ви ЗААРЕШТОВАНІ"
1702 			"^C^1 арештований"
1706 			"^C^7втік від погоні"

ArestedMin		"^2| ^8%s ^1^Cпоміщений під арест на ^7%d ^1хв"
Reliaved		"^2| ^8%s ^2^CЗвільнений від аресту"
YouHaveAr		"^2| ^7^CТи під арестом. До кінця аресту залишилось ^1%d ^7хв"
YouUndArest		"^1^CТи під арестом"

PogonyaOn 		"^2| ^C^7Ведеться погоня за %s ^7(%s^7)"
PogonyaOff 		"^2| ^C^7Відмінена погоня за %s ^7(%s^7)"
GiveFine 		"^2| %s ^C^7Виписав вам штраф: %s"
GiveFine2		"^1| ^C^7Вам виписаний штраф: %s"
GiveFine3		"^CВам виписаний штраф"
AddFine 		"^2| ^C^7Ви виписали штраф %s^7 : %s"
DeletedFine 	"^2| %s ^C^7Відмінив вам штраф: %s"
DelFine			"^2| ^C^7Ви відмінили штраф %s ^7: %s"
Speeding 		"^2| ^8%s ^C^7Перевисив швидкість на ^1%d ^3км/г^7, %s"
FinesButton		"^CШтраф"

1703 			"^2| ^C^7Не забудь вимкнути погоню"
CopFalse	 	"^2| ^C^7Ви не є працівником ДПС"
CopTrue	 		"^2| ^C^7Ви працівник ДПС"
1302 			"^2| ^C^7Ви не інспектор ДПС"
1303 			"^2| ^C^7Інспектор ДПС не може працювати"

3400 			"^1| ^C^7У вас більше 10 штрафів. Оплатіть їх."

2100  			"^2| ^C^7Сирена вимкнута"
2101  			"^2| ^C^7Сирена включена"
2102 			"^2| ^7^CНемає вільних працівників ДПС"
WherePog 		"^2| ^1^CВи не можете викликати ДПС під час погоні"
WhereDtp 		"^2| ^1^CВи вже викликали ДПС, очікуйте"
NoDtpWhenSp 	"^2| ^1^CВи не можете викликати ДПС під час руху"
Compens 		"^2| ^C^7Ви отримали компенсацію в розмірі %0.0f ^3ГРН"
CompensPl 		"^2| ^9%s ^C^7отримав компенсацію в розмірі %0.0f ^3ГРН"
2106 			"^2| ^7^CНе можна частіше, чим 5 раз в хвилину"
2107 			"^2| ^C^7Ваша заявка буде розглянута протягом 5 хвилин"
2108 			"^2| ^C^7Не залишайте місце ДТП то прибуття ДПС"
2109 			"^2| ^1^CНадійшов виклик на ДТП від %s"
2110 			"^2| ^C^7Черга заявок переповнена"
2111 			"^2| ^C^7Ви не можете використовувати радар"
2112 			"^2| ^C^7Ви не можете використовувати радар під чаз розбирання ДТП"
2113 			"^2| ^7^CВи нічого не заробили за минулу зміну"
2114 			"^2| %s ^7^Cзакрив вашу заявку на розгляд ДТП"
2115 			"^2| ^7^CЗаявка ^8%s ^7^Cна розгляд ДТП закрита"
2116 			"^2| ^C^7Нельзя приймани декілька заявок одночасно"
2117 "^2| %s ^7^CПрийняв вашу заявку на розгляд ДТП"
2118 "^2| %s ^7^CПрийняв заявку ^8%s ^7^Cна розгляд ДТП"
2119 			"^2| ^C^7Ви не можете починати погоню під час розгляду ДТП"
2120 			"^2| ^1^CВи пропустили виклик на ДТП"
2121 			"^CЗаявка прийнята - %s, %s"
2122 			"^C^2Заявка ^8%s ^2^Cна розгляді - ^1закрити"
2123 			"^CВиклик на ДТП прийнятий - %s^8, %s"
2124 			"%s ^7 - %s, ^1^Cарештований"
RadarOn 		"^2| ^C^7Радар вимкнений"
RadarOff 		"^2| ^C^7Радар увімкнений"

2600 			"^2| ^7^CВихід в глядачі під час погоні. Штраф: %d ^3ГРН"
2700 			"^2| ^7^CВихід в бокси під час погоні. Штраф: %d ^3ГРН"

// ************************
//        прочее
// ************************
GetLvl 			"^5| ^8%s ^C^1отримав ^3%d ^1рівень"

1500 			"^1| ^C^7Бонус: %d ^3ГРН"
AddSkill		"^1| ^C^2+ ^3%2.2f%% ^7досвіду"
RemSkill 		"^1| ^C^1- ^3%2.2f%% ^7досвіду"

1801 			"^1| ^C^7Випийте каву (^3!coffee^7) чи RedВull (^3!redbull^7)"

2602 			"^1| ^7^CВихід в глядачі в недозволеному місці. Штраф: %d ^3ГРН"
2702 			"^1| ^7^CВихід в бокси в недозволеному місці. Штраф: %d ^3ГРН"

EnergyFull		"^1| ^7^CВи повні енергії"
FillingEnergy	"^1| ^7^CВи еще не выпили предыдущую порцию"
2001 			"^1| ^7^CУ вас недостатньо грошей"
2002 			"^1| ^7^CВи знаходитесь не в кафе."
flood 			"^1| ^7^CФлуд! Штраф: %d ^3ГРН"
swear 			"^1| ^7^CМат! Штраф: %d ^3ГРН"

2104 			"^2| ^C^7Команді потрібен параметр"
2105 			"^2| ^C^7Параметр заданий невірно"

3000 			"^1| ^C^7Твоя душа збережена"

// ************************
//     хз откуда это
// ************************

600 	"^C^7Автосалон"
601 	"^C^7Сервіс"
602 	"^C^7Придбати"
603 	"^C^7Продати" 
604 	"^1^CЗачинити" 
1800 	"^1| ^C^7Ви витратили всі сили!"
1802 	"^1| ^C^7Так же рекомендуемо відпочити в кафе"
